dsire_id,dsire_name,dsire_match_reason,source_url,llm_confidence,llm_open_questions,scenario,description,state(s),building type(s),building vintage(s),end use(s),tech(s),fuel type(s),base fuel,base fuel backup,modification,scope,ira,increase pct,performance level,performance units,credit pct,rebate amount,rebate units,start year,end year,applicable fraction,fraction notes
22233,ComEd - Distributed Generation and Storage Rebates,updated,https://www.comed.com/smart-energy/my-green-power-connection/solar-energy/solar-rebates,low,"Solar PV and battery energy storage are distributed energy resources that do not map directly to Scout's standard building efficiency end-use equipment taxonomy (such as ASHP, electric WH, etc.). Assigned 'all' for tech(s) and end use(s), but reviewer should confirm if DG/storage incentives should be included or tracked separately in Scout. Rebate amount varies ($300/kW for residential/small commercial vs $250/kW for large commercial/community solar); $300/kW is drafted for residential/small commercial.",reference,ComEd - Distributed Generation and Storage Rebates: https://www.comed.com/smart-energy/my-green-power-connection/solar-energy/solar-rebates,IL,all,all,all,all,electricity,,,,non-federal,,,,,,300,$/kW,,,,
22174,Electric Vehicle Fleet Fee Exemption,updated,https://www.ilga.gov/legislation/ilcs/fulltext.asp?DocName=041501200K35,low,"This program applies to electric vehicle fleet registration fee exemptions ($20/vehicle), which falls outside Scout's domain of building energy equipment and envelope upgrades. Recommend rejecting/excluding from incentives.csv.",reference,Electric Vehicle Fleet Fee Exemption: https://www.ilga.gov/legislation/ilcs/fulltext.asp?DocName=041501200K35,IL,,,,,electricity,,,,non-federal,,,,,,20,$/vehicle,,,,
4493,Jo-Carroll Energy - Energy Efficiency Rebate Program (Electric),updated,https://jcecoop.com/incentives,medium,"Program covers multiple technologies (ASHP, GSHP, HPWH, appliances, lighting); drafted row covers Heat Pump Water Heater ($300/unit). Separate rows may be needed for ASHP ($175/ton), GSHP ($400-600/ton), and other measures. Start year, end year, specific efficiency thresholds, and applicable fraction are not provided in the input details.",reference,Jo-Carroll Energy - Energy Efficiency Rebate Program (Electric): https://jcecoop.com/incentives,IL,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,300,$/unit,,,,
3507,MidAmerican Energy - Residential Energy Efficiency Rebate Programs,updated,https://www.midamericanenergy.com/il-ee-rebates,medium,"This program covers multiple technologies (ASHP, CAC, GSHP, HPWH, furnaces, appliances). Drafted specifically for Heat Pump Water Heaters ($225/unit). Performance efficiency thresholds (e.g., ENERGY STAR UEF) are not specified in the summary and require verification. Separate rows may be needed for other equipment types (e.g., ASHP, GSHP, furnaces).",reference,MidAmerican Energy - Residential Energy Efficiency Rebate Programs: https://www.midamericanenergy.com/il-ee-rebates,IL,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,225,$/unit,2025,2025,,
3567,Renewable Energy and Energy Efficiency Project Financing,updated,,low,"This is a tax-exempt bond financing program for commercial/institutional entities rather than a direct rebate or tax credit. Specific rebate amounts, credit percentages, performance levels, and target equipment technologies are not provided and cannot be modeled directly as a standard equipment rebate. Source URL was missing from input.",reference,Illinois Finance Authority - Renewable Energy and Energy Efficiency Project Financing,IL,all commercial,all,all,all,all,,,,non-federal,,,,,,,,2009,,,
4365,AES Indiana - Business Energy Incentives Program,updated,https://www.aesindiana.com/your-business,medium,"Program includes multiple equipment categories (lighting, kitchen, other HVAC). This row covers Air Source Heat Pumps at $60/ton. Specific performance criteria/efficiency thresholds and start/end dates are not detailed in the record and need human verification.",reference,AES Indiana - Business Energy Incentives Program: https://www.aesindiana.com/your-business,IN,all commercial,all,heating,ASHP,electricity,,,replace,non-federal,,,,,,60,$/ton,,,,
2671,Dubois REC - Residential Energy Efficiency Rebate Program,expired+updated,https://www.duboisrec.com/electric-hvac-and-water-heating-rebates/,medium,Check website for specific GSHP performance thresholds (COP/EER) and program start/end dates. Also check whether ASHP ($300-$500) requires a separate row.,reference,Dubois REC - Residential Energy Efficiency Rebate Program: https://www.duboisrec.com/electric-hvac-and-water-heating-rebates/,IN,all residential,all,heating,GSHP,electricity,all,,replace,non-federal,,,,,,2000,$/unit,,,,
2297,Duke Energy - Commercial Energy Efficiency Rebate Program,updated,https://www.duke-energy.com/business/products/smartsaver/commercial-equipment,low,"Specific rebate amounts ($ or $/unit) and performance efficiency thresholds (e.g. COP, SEER2, R-value) are not stated in the program summary and need to be pulled from the 2025 application PDF link. The program spans multiple end uses/technologies (HVAC, envelope, refrigeration, commercial kitchen), which should eventually be split into individual technology rows.",reference,Duke Energy Smart $aver Commercial Energy Efficiency Rebate Program: https://www.duke-energy.com/business/products/smartsaver/commercial-equipment,IN,commercial,all,all,all,electricity,all,,replace,non-federal,,,,,,,,2025,,,
2684,Marshall County REMC - Residential Energy Efficiency Rebate Program,expired+updated,https://www.powermoves.com/rebates/residential/,medium,"Drafted for Heat Pump Water Heater ($800 rebate). Efficiency thresholds (e.g., UEF) and start/end years are not specified in the input text and require verification from program documentation. Additional rows are required for air-source heat pumps, geothermal heat pumps, and thermostats.",reference,Marshall County REMC Residential Energy Efficiency Rebate Program: https://www.powermoves.com/rebates/residential/,IN,all residential,all,water heating,electric WH,electricity,,,replace,non-federal,,,,,,800,$/unit,,,,
54,Renewable Energy Property Tax Exemption,expired+updated,https://www.in.gov/dlgf/deductions-property-tax/,low,"This is a property tax exemption based on assessed value or out-of-pocket costs, not an upfront purchase rebate or income tax credit percentage. Converting property tax exemptions into Scout incentive parameters requires local property tax rate assumptions. Additionally, technology coverage spans GSHP, solar thermal, PV, wind, and hydro; GSHP was selected as a representative Scout tech.",reference,Renewable Energy Property Tax Exemption (Indiana Department of Local Government Finance): https://www.in.gov/dlgf/deductions-property-tax/,IN,all,all,all,GSHP,all,,,replace,non-federal,,,,,,,,,2025,,
5106,Sales and Use Tax Exemption for Electrical Generating Equipment,updated,,low,"Program provides a sales/use tax exemption for equipment generating electricity for sale (commercial solar PV and wind). Residential systems are explicitly excluded. No sales tax rate percentage, explicit dollar amount, performance criteria, start/end years, or standard Scout end-use/technology mapping are provided in the input.",reference,Sales and Use Tax Exemption for Electrical Generating Equipment; Indiana Department of Revenue,IN,commercial,all,,,electricity,,,,non-federal,,,,,,,,,,,
5114,Wabash Valley Power Association (28 Member Cooperatives) - Residential Energy Efficiency Program,updated,https://www.powermoves.com/rebates/residential/,medium,"DSIRE record lists IN state, but summary mentions member cooperatives across IN, OH, MI, MO, IL. This candidate row focuses on the $800 heat pump water heater rebate; separate rows may be needed for ASHP ($250-$1800), GSHP ($250-$2000), dual fuel heat pumps ($500), and smart thermostats ($75). Specific equipment performance thresholds (e.g., UEF, COP) are missing from the input.",reference,Wabash Valley Power Association Residential Energy Efficiency Program: https://www.powermoves.com/rebates/residential/,IN,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,800,$/unit,,2025,,
5238,Columbia Gas of Kentucky - Low Income Furnace Replacement Program,updated,https://www.columbiagasky.com/energy-efficiency/for-your-home,low,"Equipment performance requirements (e.g., AFUE efficiency threshold) and start/end dates are missing from the input data. The program applies specifically to low-income customers, so an applicable fraction representing the low-income share of gas-heated residential units in Columbia Gas of Kentucky service territory should be determined.",reference,Columbia Gas of Kentucky - Low Income Furnace Replacement Program: https://www.columbiagasky.com/energy-efficiency/for-your-home,KY,all residential,all,heating,furnace (NG),natural gas,natural gas,,replace,non-federal,,,,,100,,,,,,
3999,On-Farm Energy Efficiency Grant Program,updated,https://mtassociation.org/energy/funding-for-farm-energy-projects-in-kentucky-in-2025/,low,"Program is restricted to farm structures (personal residences and non-farm commercial properties are explicitly excluded); verify how farm buildings map to Scout building types. Maximum grant is 50% up to $10,000/year across multiple eligible technologies (lighting, windows, insulation, HVAC, water heating); water heaters mapped here as an example using the 90% thermal efficiency threshold specified.",reference,On-Farm Energy Efficiency Grant Program (Governor's Office of Agricultural Policy): https://mtassociation.org/energy/funding-for-farm-energy-projects-in-kentucky-in-2025/,KY,commercial,all,water heating,electric WH,all,,,replace,non-federal,,,0.90,thermal efficiency,50,10000,$/project,2025,,,
22572,Sales Tax Exemption - Machinery for New and Expanded Industry,updated,,low,"The program applies strictly to solar energy systems producing electricity for sale (wholesale generation) rather than on-site building consumption, making it applicable outside standard Scout building equipment end uses. Missing source URL, start/end dates, and explicit tax credit percentage in input text.",reference,Sales Tax Exemption - Machinery for New and Expanded Industry (Kentucky Department of Revenue),KY,commercial,all,all,all,electricity,,,,non-federal,,,,,,,,,,,
2306,Salt River Electric - Residential Energy Efficiency Rebate Programs,updated,https://www.srelectric.com/rebates/,low,"The heat pump retrofit rebate ranges from $250 to $750 depending on tier/specifications, but exact performance thresholds (SEER2/HSPF2/COP) are not specified in the DSIRE summary. Start year, end year, and exact tier breakdown should be confirmed from utility program documentation.",reference,Salt River Electric - Residential Energy Efficiency Rebate Programs: https://www.srelectric.com/rebates/,KY,all residential,all,heating,ASHP,electricity,,,replace,non-federal,,,,,,750,$/unit,,,,
2283,Together We Save - Kentucky's Touchstone Energy Cooperatives (16 Cooperatives),updated,https://togetherwesaveky.com/cooperatives/,low,"No specific dollar rebate amounts, performance thresholds, or start/end years were provided in the source summary because rebates vary by local cooperative. Check individual member cooperative rebate pages for specific ASHP, insulation, and appliance rebate amounts.",reference,Together We Save - Kentucky's Touchstone Energy Cooperatives rebate program: https://togetherwesaveky.com/cooperatives/,KY,all residential,all,heating,ASHP,electricity,,,replace,non-federal,,,,,,,,,,,
5789,Entergy (Louisiana and Gulf States) - Residential Energy Efficiency Program,updated,https://www.entergylouisiana.com/energyefficiency/residential,medium,"Program includes multiple equipment types (Central A/C up to $200, ASHP up to $250, Mini-Split up to $500, Smart Thermostats up to $150). Drafted for standard ASHP ($250/unit). Specific performance efficiency thresholds (beyond general ENERGY STAR certification) and start/end years are not provided in the text.",reference,Entergy Solutions Residential Energy Efficiency Program: https://www.entergylouisiana.com/energyefficiency/residential,LA,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,250,$/unit,,,,
3752,Entergy New Orleans - Residential Energy Efficiency Program,updated,https://www.energysmartnola.info/residents/,medium,"The program covers multiple HVAC and appliance measures; this draft captures Heat Pump Water Heaters ($1,000 rebate). Start/end years and exact numeric performance levels (e.g., UEF) are not provided beyond requiring ENERGY STAR certification.",reference,Entergy New Orleans Residential Energy Efficiency Program: https://www.energysmartnola.info/residents/,LA,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,1000,$/unit,,,,
1808,Concord Municipal Light Plant - Commercial Energy Efficiency Rebate Program,updated,https://concordma.gov/1989/Rebates-for-your-Business,low,"Heat pump rebates range from $2,500 to $4,500 depending on capacity/tier, but exact capacity thresholds are not provided in the summary. Performance levels (COP/HSPF) and program start/end dates are also missing. Consider drafting separate rows for HPWH ($185-$750) and lighting measures.",reference,Concord Municipal Light Plant Commercial Energy Efficiency Rebate Program: https://concordma.gov/1989/Rebates-for-your-Business,MA,all commercial,all,heating,ASHP,electricity,,,replace,non-federal,,,,,,,$/unit,,,,
4067,Green Communities Grant Program,updated,http://www.mass.gov/eea/energy-utilities-clean-tech/green-communities/gc-grant-program/,low,"This entry describes a municipal-level grant program with custom/variable grant amounts determined by a formula and local energy reduction plans. No specific dollar amounts, equipment performance thresholds, target building types, start/end years, or tech specifications are provided in the source summary. Review program guidance or grant award details to determine if discrete equipment-level incentive rows can be extracted for Scout.",reference,Green Communities Grant Program: http://www.mass.gov/eea/energy-utilities-clean-tech/green-communities/gc-grant-program/,MA,,,,all,,,,,non-federal,,,,,,,,,,,
1338,Holyoke Gas & Electric - Commercial Energy Assistance Program,updated,https://www.hged.com/commercial/ee-business/ceap/default.aspx,low,"This entry represents a 0% interest loan program (up to $20,000, 36-60 month payback) rather than a direct rebate or tax credit. No rebate amount, percentage credit, performance levels, or active years were specified. Analyst should decide if loan programs belong in sub_fed/incentives.csv and how 0% financing should be converted into direct rebate equivalents.",reference,Holyoke Gas & Electric Commercial Energy Assistance Program: https://www.hged.com/commercial/ee-business/ceap/default.aspx,MA,commercial,all,all,all,"electricity, natural gas",,,replace,non-federal,,,,,,,,,,,
4283,Local Option - Energy Revolving Loan Fund,updated,,low,"This entry describes an enabling framework for local PACE financing / revolving loan funds with no fixed dollar rebate, tax credit percentage, or equipment performance thresholds specified. Confirm whether financing/loan programs should be represented in incentives.csv and determine appropriate start/end years and applicability.",reference,Local Option - Energy Revolving Loan Fund (MA): https://malegislature.gov/Bills/186/House/H4877,MA,"all residential, all commercial",all,all,all,all,all,,replace,non-federal,,,,,,,,2010,,,
1811,Mansfield Municipal Electric Department - Residential Energy Efficiency Rebate Program,expired+updated,https://www.mansfieldelectric.com/rebates-savings,medium,"This record contains multiple measures (heat pumps at $500/ton, weatherization 50% up to $1,000, appliances, HPWH at $500/unit). Drafted row focuses on Heat Pump Water Heater. Separate rows should be created for ASHP/GSHP and weatherization measures if desired. Start/end years and specific numeric performance thresholds (e.g., UEF) are omitted because they were not explicitly specified in the source text.",reference,Mansfield Municipal Electric Department - Residential Energy Efficiency Rebate Program: https://www.mansfieldelectric.com/rebates-savings,MA,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,500,$/unit,,,,
4799,Mass Save  - Residential Energy Efficiency Programs,updated,https://www.masssave.com/en/saving/residential-rebates/,medium,"DSIRE record encompasses multiple technologies (ASHP, HPWH, appliances, controls). This candidate row models the Heat Pump Water Heater rebate ($750). Additional rows should be drafted for whole-home ASHPs ($3,000/ton), induction cooktops ($500), and HP dryers ($200). Start/end years and exact UEF efficiency requirements are omitted in the summary and should be verified on Mass Save's website.",reference,Mass Save Residential Energy Efficiency Programs: https://www.masssave.com/en/saving/residential-rebates/,MA,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,750,$/unit,,,,
4798,Mass Save (Electric) - Large Commercial Retrofit Program,updated,https://www.masssave.com/business/programs-and-services/deep-energy-retrofit,low,"This program is a whole-building performance/Deep Energy Retrofit (DER) incentive ($0.40/sq ft for 25% GHG reduction, additional $0.60/sq ft for 40% GHG reduction) rather than an equipment-specific rebate. mapped tech(s) and end use(s) to 'all'. Start and end years are not provided in the text. Start year, end year, and applicable fraction are left blank.",reference,Mass Save Large Commercial Retrofit Program: https://www.masssave.com/business/programs-and-services/deep-energy-retrofit,MA,commercial,existing,all,all,electricity,all,,replace,non-federal,,,25; 40,% GHG reduction,,1,$/sq ft,,,,
2107,Mass Save - HEAT Loan Program,updated,https://www.masssave.com/en/residential/programs-and-services/financing,low,"This program provides 0% interest financing (up to $25,000-$50,000 for up to 7 years) rather than a direct rebate or tax credit. Scout incentives.csv typically models direct rebates ($/unit, $/home) or percentage tax credits. Reviewer should verify whether/how 0% financing should be modeled as an equivalent rebate amount or omitted.",reference,Mass Save HEAT Loan Program: https://www.masssave.com/en/residential/programs-and-services/financing,MA,all residential,all,all,all,all,,,replace,non-federal,,,,,,,,,,,
22638,Massachusetts - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,updated,https://www.mass.gov/massdot-nevi-plan,low,"EV charging infrastructure does not map directly to standard Scout building technologies or end uses. Additionally, no specific numeric rebate amounts, credit percentages, performance thresholds, or end years are provided in the input text.",reference,Massachusetts - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program: https://www.mass.gov/massdot-nevi-plan,MA,"all residential, all commercial",new,all,all,electricity,,,,non-federal,,,,,,,,2024,,,
3217,NextZero - Offered by 21 Utilities through the MMWEC,updated,https://nextzero.org/,low,"Rebate dollar amounts, performance thresholds (e.g., SEER2, HSPF2, COP), and effective dates vary across the 21 individual municipal utilities and are not provided in the summary. Specific utility program documentation must be consulted to fill in missing values.",reference,NextZero Residential Rebates: https://nextzero.org/,MA,all residential,all,heating,ASHP,electricity,,,replace,non-federal,,,,,,,,,,,
22037,PACE Massachusetts Financing,updated,https://www.massdevelopment.com/products-and-services/financing/green-finance/pace/,low,"This is a PACE financing program rather than a direct rebate or tax credit. No dollar incentive amounts, credit percentages, or specific technical performance levels are specified in the source summary (only a Savings to Investment Ratio test is required). Confirm whether financing/loan programs should be modeled in Scout incentives.csv.",reference,PACE Massachusetts Financing (MassDevelopment): https://www.massdevelopment.com/products-and-services/financing/green-finance/pace/,MA,"commercial, multifamily",all,all,all,all,,,,non-federal,,,,,,,,2016,,,
4595,Reading Municipal Light Department - Business Energy Efficiency Rebate Program,updated,https://www.rmld.com/207/Commercial-Rebates,medium,"Missing start/end years, explicit performance criteria (efficiency thresholds), and applicable fraction in source text. Incentive ($1,000/ton) mapped to commercial air-source heat pumps (ASHP).",reference,Reading Municipal Light Department Business Energy Efficiency Rebate Program: https://www.rmld.com/207/Commercial-Rebates,MA,all commercial,all,heating,ASHP,electricity,,,replace,non-federal,,,,,,1000,$/ton,,,,
145,Renewable Energy Equipment Sales Tax Exemption,updated,http://www.mass.gov/dor/individuals/taxpayer-help-and-resources/tax-guides/salesuse-tax-guide.html,low,"The program provides a 100% exemption from state sales tax (MA sales tax is 6.25%), rather than a direct equipment cost rebate/credit percentage. Analyst needs to determine how sales tax exemptions should be modeled in Scout. Also check start/end years and if other heat pump types (ASHP, HPWH) qualify.",reference,MA Renewable Energy Equipment Sales Tax Exemption: http://www.mass.gov/dor/individuals/taxpayer-help-and-resources/tax-guides/salesuse-tax-guide.html,MA,all residential,all,heating,GSHP,electricity,all,,replace,non-federal,,,,,,,,,,,
4557,Residential & Small-Scale Solar Hot Water Program,updated,http://www.masscec.com/get-clean-energy/residential/solar-hot-water,low,"The program summary lists multiple incentive mechanisms (15% state tax credit up to $1,000, AECs worth $400-$1,000, and 0% financing). Mapped technology to 'electric WH' as solar water heater is not in standard Scout vocabulary. Start/end years and equipment performance standards are not specified in the source text.",reference,Residential & Small-Scale Solar Hot Water Program (MassCEC): http://www.masscec.com/get-clean-energy/residential/solar-hot-water,MA,all residential,all,water heating,electric WH,solar,all,,replace,non-federal,,,,,15,1000,$/unit,,,,
22809,Shrewsbury Electric - Commercial Energy Efficiency Rebate Program,updated,https://selco.shrewsburyma.gov/commercial-rebates-incentives/,medium,"Omitted EV charger rebates ($250-$3,000) as EVSE is outside standard Scout building equipment end uses. Confirm whether heat pump rebate applies to specific heat pump categories (ASHP, GSHP, VRF) or rooftop units, whether performance efficiency thresholds exist, and determine active start/end years.",reference,Shrewsbury Electric & Cable Operations Commercial Energy Efficiency Rebate Program: https://selco.shrewsburyma.gov/commercial-rebates-incentives/,MA,all commercial,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,750,$/ton,,,,
1929,Shrewsbury Electric - Residential Energy Efficiency Rebate Program,updated,https://www.selco.shrewsburyma.gov/efficiency-renewables,medium,"Drafted specifically for Heat Pump Water Heaters ($850/unit rebate). Start year is not explicitly provided. Summary notes state the program application period closed on 12/31/2024. Other equipment types in this program (ASHP, GSHP, central AC, weatherization, thermostats) would require separate rows.",reference,Shrewsbury Electric - Residential Energy Efficiency Rebate Program: https://www.selco.shrewsburyma.gov/efficiency-renewables,MA,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,850,$/unit,,2024,,
22111,Solar Massachusetts Renewable Target (SMART) Program,updated,https://www.mass.gov/info-details/smart-30-program-details,low,"Solar PV is a generation technology rather than a standard Scout end-use/envelope technology. Incentive structure is performance-based ($/kWh) and depends on multi-tiered base compensation rates, system capacity, and locational/off-taker adders, so a single rebate_amount or credit_pct cannot be populated without selecting a specific project tier. Reviewer should verify start year and capacity block definitions for SMART 3.0.",reference,Solar Massachusetts Renewable Target (SMART) Program: https://www.mass.gov/info-details/smart-30-program-details,MA,all,all,all,PV,electricity,,,,non-federal,,,,,,,$/kWh,,2026,,
22807,Taunton Municipal Lighting Plant - EV and Level 2 EV Charging Program,updated,https://www.tmlp.com/178/EV-Program,low,EVs and Level 2 EVSE are not standard building ECM technologies in Scout. This row represents the $300 rebate for Level 2 EVSE chargers; a separate $450 rebate exists for new/used BEV/PHEV vehicles. Start and end years as well as technical performance requirements are not provided in the input source text.,reference,Taunton Municipal Lighting Plant - EV and Level 2 EV Charging Program: https://www.tmlp.com/178/EV-Program,MA,all residential,all,all,all,electricity,,,replace,non-federal,,,,,,300,$/unit,,,,
22806,Taunton Municipal Lighting Plant - Heat Pump Residential Rebate,updated,https://www.tmlp.com/182/Heat-Pump-Zero-Interest-Loan-Residential,medium,"Start and end years are not specified in the input text. Equipment performance thresholds (e.g., COP/SEER2/HSPF2) are omitted. A cap of $5,000 applies per unit/home for standard heat pumps. Separate candidate rows should be drafted for the low-to-moderate income rebate tier ($2,250/ton, max $9,000) and weatherization/air sealing (50% of cost, max $3,000).",reference,Taunton Municipal Lighting Plant Heat Pump Residential Rebate: https://www.tmlp.com/182/Heat-Pump-Zero-Interest-Loan-Residential,MA,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,1250,$/ton,,,,
4561,Taunton Municipal Lighting Plant - Home and Outdoor Appliance Rebate,updated,https://www.tmlp.com/179/Home-and-Outdoor-Appliance-Rebate,medium,"Specific numeric efficiency thresholds (e.g., UEF) beyond ENERGY STAR certification are not detailed in the summary. Start and end years are omitted as they are not explicitly specified. Additional candidate rows could be created for other rebate items mentioned in the program details (e.g., room AC at $40/unit, clothes dryers at $50/unit, or thermostats).",reference,Taunton Municipal Lighting Plant (TMLP) Home and Outdoor Appliance Rebate: https://www.tmlp.com/179/Home-and-Outdoor-Appliance-Rebate,MA,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,300,$/unit,,,,
22805,Taunton Municipal Lighting Plant - Residential Heat Pump & Zero-Interest Loan,updated,https://www.tmlp.com/182/Heat-Pump-Zero-Interest-Loan-Residential,low,"Program offers a zero-interest loan up to $25,000 (7-year term) rather than a direct rebate or tax credit; reviewer must clarify how Scout accounts for loan financing programs. Specific equipment performance efficiency requirements (e.g. COP/SEER2), start/end years, and market applicability fractions are missing from the input source.",reference,Taunton Municipal Lighting Plant - Residential Heat Pump & Zero-Interest Loan: https://www.tmlp.com/182/Heat-Pump-Zero-Interest-Loan-Residential,MA,all residential,all,heating,ASHP,electricity,all,,replace,non-federal,,,,,,,,,,,
4577,Anne Arundel County - High Performance Building Property Tax Credit,updated,https://www.aacounty.org/finance/tax-information/tax-credits-exemptions,low,"This is a whole-building property tax credit based on a percentage (40%-80%) of county property taxes owed rather than equipment/system cost, with caps ranging from $1,000 (residential Silver) to $60,000 (commercial Platinum) over 5 years. Reviewer needs to determine whether and how property tax incentives for whole-building LEED/NGBS certifications can be represented in Scout's equipment-level rebate schema.",reference,Anne Arundel County - High Performance Building Property Tax Credit: https://www.aacounty.org/finance/tax-information/tax-credits-exemptions,MD,all,all,all,all,all,all,,,non-federal,,,,,,,,2010,,,
2908,Anne Arundel County - Solar and Geothermal Equipment Property Tax Credits,updated,https://www.aacounty.org/finance/tax-information/tax-credits-exemptions,medium,"Program covers PV, solar space/water heating, and geothermal heat pumps (GSHP). This row isolates GSHP for heating. Since this is a county-level property tax credit for Anne Arundel County, MD, applicable_fraction needs adjustment to reflect the county's share of MD residential buildings.",reference,Anne Arundel County - Solar and Geothermal Equipment Property Tax Credits: https://www.aacounty.org/finance/tax-information/tax-credits-exemptions,MD,all residential,all,heating,GSHP,electricity,all,,replace,non-federal,,,,,50,2500,$/home,2010,,,
5042,Baltimore County - Property Tax Credit for Solar and Geothermal Devices,updated,https://www.baltimorecountymd.gov/departments/budfin/taxpayer-services/tax-credits/energy,medium,"Incentive applies specifically to Baltimore County within MD rather than statewide. Program covers GSHP heating ($5,000 max), GSHP/solar hot water ($1,500 max), and solar PV ($5,000 max); this row targets GSHP heating. End year is unspecified in source material. Verify whether rebate_units should be $/unit or $/home and check applicable fraction for local tax credit uptake.",reference,Baltimore County Property Tax Credit for Solar and Geothermal Devices: https://www.baltimorecountymd.gov/departments/budfin/taxpayer-services/tax-credits/energy,MD,all residential,all,heating,GSHP,electricity,all,,replace,non-federal,,,,,50,5000,$/unit,2010,,,
5650,Commercial and Industrial Grant Program,updated,http://energy.maryland.gov/business/Pages/incentives/empowermdcigp.aspx,low,"Whole-building grant program covering up to 50% of project costs (100% for eligible low-income serving facilities in FY 2026). Summary states awards up to $500,000 while Details list a maximum of $200,000. Start/end years are not specified. Reviewer needs to decide how to represent commercial grant dollar caps and applicable fractions in Scout.",reference,Maryland Energy Administration Commercial and Industrial Grant Program: http://energy.maryland.gov/business/Pages/incentives/empowermdcigp.aspx,MD,commercial,all,all,all,electricity,electricity,,replace,non-federal,,,20,% reduction,50,,,,,,
22792,Community Solar LMI-PPA Grant Program,updated,https://energy.maryland.gov/residential/pages/communitysolarlmi-ppa.aspx,low,"1. Program is a community solar grant targeted at project developers ($2,000/kW-dc for AOI-2, custom formula for AOI-1) rather than direct building equipment retrofits/rebates. Verify if/how community solar generation grants should be represented in Scout. 2. Specific per-household rebate or benefit amount is variable depending on utility savings and project capacity.",reference,Maryland Energy Administration Community Solar LMI-PPA Grant Program: https://energy.maryland.gov/residential/pages/communitysolarlmi-ppa.aspx,MD,low-income residential,all,all,PV,electricity,,,,non-federal,,,,,,,,2025,,,
3744,Delmarva Power - Residential Energy Efficiency Rebate Program,updated,https://www.delmarva.com/WaysToSave/ForYourHome/Pages/MD/RebatesAndDiscounts.aspx,medium,"Start/end years are not specified in the input text. Numeric efficiency threshold (UEF) beyond general ENERGY STAR qualification is not explicitly stated. Draft focuses on HPWH ($1,600); separate rows would be needed if smart thermostats or other HVAC/appliance incentives are modeled.",reference,Delmarva Power - Residential Energy Efficiency Rebate Program: https://homeenergysavings.delmarva.com/residential/rebates,MD,all residential,all,water heating,electric WH,electricity,all,,replace,non-federal,,,,,,1600,$/unit,,,,
2832,Harford County - Property Tax Credit for Solar and Geothermal Devices,updated,https://www.harfordcountymd.gov/DocumentCenter/View/27251/Solar-Geothermal-Energy-ApplicationPDF,low,"Property tax credit covers geothermal heat pumps (GSHP), solar PV, and solar WH up to $2,500/device ($5,000/property max) applied against real property tax liability. Drafted for GSHP under heating; separate rows would be needed for PV/solar water heating. Applicable fraction for MD state-level modeling must be adjusted to account for Harford County population/building stock fraction.",reference,Harford County Property Tax Credit for Solar and Geothermal Devices: https://www.harfordcountymd.gov/DocumentCenter/View/27251/Solar-Geothermal-Energy-ApplicationPDF,MD,all,all,heating,GSHP,electricity,all,,replace,non-federal,,,,,,2500,$/unit,,,,
22796,Local Government Energy Modernization Program (L-GEM),expired+updated,https://energy.maryland.gov/govt/pages/smartenergycommunities.aspx,low,"The program summary notes that L-GEM is now closed. Additionally, funding is structured as total grant caps ($300k-$1.5M per project/municipality) rather than equipment-level $/unit or $/sqft rebates, and no explicit equipment performance standards are provided.",reference,"Local Government Energy Modernization Program (L-GEM), Maryland Energy Administration: https://energy.maryland.gov/govt/pages/smartenergycommunities.aspx",MD,all commercial,all,all,all,all,,,replace,non-federal,,,,,,,,2026,2026,,
3107,Montgomery County - Property Tax Credit – Renewable Energy (Energy Conservation Devices),updated,https://www.montgomerycountymd.gov/finance/taxes/tax_credit_exempt.html#p19,low,"Specific eligible energy conservation technologies and efficiency performance metrics are not specified in the DSIRE summary. The program has a $100,000 total annual cap across all applicants.",reference,Montgomery County Property Tax Credit - Energy Conservation Devices: https://www.montgomerycountymd.gov/finance/taxes/tax_credit_exempt.html#p19,MD,all residential,all,all,all,all,,,replace,non-federal,,,,,100,250,$/home,2008,,,
